DEPTH,R4,COND,SP,GR,AC
1742.125,2.265,461.898,24.063,77.122,336.248
1742.25,2.225,457.351,23.906,75.468,345.479
1742.375,2.225,455.275,23.749,74.103,334.283
1742.5,2.319,450.056,23.627,72.962,316.423
1742.625,2.404,442.328,23.485,71.934,300.54
1742.75,2.466,430.844,23.35,71.35,294.062
1742.875,2.507,423.603,23.245,71.084,305.321
1743,2.507,417.537,23.036,70.257,314.938
1743.125,2.545,411.558,22.766,69.631,320.053
1743.25,2.547,407.759,22.609,70.34,324.165
1743.375,2.576,403.344,22.389,72.019,333.382
1743.5,2.587,391.23,22.232,69.764,339.71
1743.625,2.587,379.498,21.979,70.545,346.939
1743.75,2.587,375.433,21.766,70.902,351.632
1743.875,2.628,367.11,21.642,70.098,348.152
1744,2.696,351.37,21.451,70.952,337.048
1744.125,3.243,335.942,21.294,73.78,331.339
1744.25,3.768,321.197,21.036,69.891,323.114
1744.375,4.224,303.387,20.878,68.398,316.979
1744.5,4.639,293.611,20.822,67.37,313.658
1744.625,4.98,280.737,20.766,67.577,308.43
1744.75,5.249,274.888,20.665,70.35,310.933
1744.875,5.529,270.952,20.666,72.236,320.251
1745,5.724,270.948,20.835,75.574,326.563
1745.125,5.731,274.862,21,73.345,331.851
1745.25,5.409,282.904,21.2,73.842,330.324
1745.375,4.919,300.633,21.358,75.776,342.06
1745.5,4.345,318.987,21.563,74.047,364.515
1745.625,3.843,343.365,21.77,75.218,371.026
1745.75,3.409,369.609,22.084,76.548,354.782
1745.875,3.055,397.868,22.399,78.22,331.877
1746,2.79,404.895,22.702,80.319,321.18
1746.125,2.524,423.402,23.029,82.514,373.437
1746.25,2.359,435.921,23.269,85.112,388.441
1746.375,2.275,455.006,23.457,87.056,397.782
1746.5,2.168,469.992,23.771,89.419,405.123
1746.625,2.066,484.502,24.187,93.63,391.44
1746.75,1.974,499.484,24.401,92.874,377.431
1746.875,1.86,510.542,24.611,94.474,372.44
1747,1.771,530.831,24.669,96.294,376.28
1747.125,1.686,540.802,24.827,95.001,381.149
1747.25,1.705,556.084,24.961,93.814,384.617
1747.375,1.773,556.588,25.066,94.144,387.895
1747.5,1.785,564.653,25.117,96.338,391.561
1747.625,1.786,572.834,25.117,97.903,395.124
1747.75,1.826,581.134,25.213,97.429,398.237
1747.875,1.826,583.24,25.218,95.754,400.351
1748,1.826,589.543,25.218,92.673,399.076
1748.125,1.826,589.531,25.219,94.142,383.352
1748.25,1.926,574.002,25.219,93.989,370.688
1748.375,2.132,564.725,25.199,91.464,360.731
1748.5,2.368,560.182,25.118,89.475,352.915
1748.625,2.613,548.524,25.118,87.878,344.271
1748.75,2.771,539.466,25.118,86.637,335.05
1748.875,2.956,522.106,25.118,84.76,330.378
1749,3.097,506.449,25.118,82.929,324.828
1749.125,3.234,481.796,25.154,80.806,316.361
1749.25,3.332,461.411,25.219,77.967,308.061
1749.375,3.395,454.805,25.22,77.14,318.221
1749.5,3.328,448.292,25.22,77.452,338.768
1749.625,3.283,441.192,25.22,77.989,348.688
1749.75,3.274,425.546,25.22,77.876,343.42
1749.875,3.315,419.114,25.22,77.586,319.011
1750,3.521,408.481,25.22,77.989,303.647
1750.125,3.696,401.97,25.22,77.989,285.549
1750.25,3.907,395.567,25.22,77.381,273.679
1750.375,3.998,393.738,25.22,76.306,289.946
1750.5,3.854,393.73,25.22,74.724,329.004
1750.625,3.649,411.358,25.221,72.759,366.489
1750.75,3.412,435.482,25.221,73.637,376.719
1750.875,3.122,456.33,25.277,75,370.548
1751,2.833,472.592,25.322,75.098,355.866
1751.125,2.668,491.997,25.322,75.976,337.636
1751.25,2.543,507.21,25.322,78.878,329.553
1751.375,2.471,527.773,25.36,81.227,323.324
1751.5,2.413,546.862,25.423,79.195,344.493
1751.625,2.369,556.229,25.424,81.111,379.478
1751.75,2.324,564.287,25.424,81.459,391.934
1751.875,2.199,565.604,25.424,81.496,401.927
1752,2.034,572.452,25.424,83.907,385.499
1752.125,1.909,572.441,25.424,86.525,373.878
1752.25,1.828,572.43,25.424,87.409,358.618
1752.375,1.828,556.165,25.424,86.563,335.268
1752.5,1.869,549.242,25.424,85.181,359.742
1752.625,1.926,533.393,25.424,83.317,390.576
1752.75,1.949,524.999,25.424,82.3,383.07
1752.875,1.949,524.99,25.425,80.446,369.218
1753,1.909,517.473,25.324,79.446,357.686
1753.125,1.985,502.77,25.324,78.267,344.195
1753.25,2.312,485.502,25.324,77.989,330.911
1753.375,2.558,470.925,25.324,77.418,318.568
1753.5,2.759,461.121,25.324,77.184,313.334
1753.625,2.849,454.519,25.324,76.581,319.227
1753.75,2.834,454.511,25.324,76.178,329.57
1753.875,2.818,461.096,25.324,75.776,341.299
1754,2.972,464.759,25.324,75.575,348.18
1754.125,3.125,474.553,25.324,76.081,332.804
1754.25,3.353,481.428,25.325,76.38,318.162
1754.375,3.48,488.403,25.325,75.024,373.268
1754.5,3.471,495.479,25.325,74.197,390.44
1754.625,3.094,495.47,25.325,78.118,385.091
1754.75,2.789,495.46,25.325,80.639,374.191
1754.875,2.414,495.451,25.325,82.738,357.802
1755,2.272,502.629,25.325,84.031,346.591
1755.125,2.192,502.619,25.325,80.805,335.6
1755.25,2.192,495.423,25.325,78.051,322.989
1755.375,2.192,488.33,25.325,75.386,312.16
1755.5,2.274,476.239,25.326,73.814,308.191
1755.625,2.318,472.427,25.326,74.115,315.42
1755.75,2.393,463.833,25.326,75.771,321.646
1755.875,2.378,460.959,25.326,77.587,328.465
1756,2.353,448.292,25.326,76.723,329.544
1756.125,2.353,441.159,25.326,76.719,317.353
1756.25,2.408,434.623,25.377,75.816,302.115
1756.375,2.507,428.902,25.427,78.369,292.335
1756.5,2.671,422.761,25.427,76.179,303.881
1756.625,2.715,422.754,25.428,73.432,330.297
1756.75,2.628,422.746,25.529,71.196,344.109
1756.875,2.468,427.213,25.529,68.94,330.507
1757,2.338,434.107,25.529,74.532,317.52
1757.125,2.213,441.386,25.529,75.946,306.471
1757.25,2.112,441.378,25.611,73.828,296.129
1757.375,2.141,441.37,25.63,72.623,298.297
1757.5,2.226,441.362,25.63,72.928,314.367
1757.625,2.233,441.354,25.631,73.359,329.961
1757.75,2.233,441.346,25.727,72.42,343.328
